1: water: V/L sat. T=5, to 370, C

                          Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        
Temperature  Pressure     Density      Density      Enthalpy     Enthalpy     Entropy      Entropy      Therm. Cond. Therm. Cond. Viscosity    Viscosity    Surf. Tension
(C)          (kPa)        (kg/m^3)     (kg/m^3)     (kJ/kg)      (kJ/kg)      (kJ/kg-K)    (kJ/kg-K)    (W/m-K)      (W/m-K)      (uPa-s)      (uPa-s)      (N/m)
25,000       3,1699       997,00       0,023075     104,83       2546,5       0,36722      8,5566       0,60715      0,018550     890,11       9,8669       0,071972
25,500       3,2657       996,87       0,023733     106,92       2547,4       0,37423      8,5460       0,60800      0,018583     880,06       9,8810       0,071895
26,000       3,3639       996,74       0,024406     109,01       2548,3       0,38123      8,5353       0,60885      0,018617     870,20       9,8953       0,071818
26,500       3,4647       996,61       0,025097     111,10       2549,2       0,38821      8,5248       0,60969      0,018650     860,52       9,9095       0,071740
27,000       3,5681       996,47       0,025804     113,19       2550,1       0,39518      8,5142       0,61053      0,018683     851,01       9,9238       0,071663
27,500       3,6742       996,33       0,026528     115,28       2551,0       0,40214      8,5037       0,61136      0,018717     841,67       9,9382       0,071585
28,000       3,7831       996,19       0,027269     117,37       2551,9       0,40908      8,4933       0,61219      0,018750     832,49       9,9525       0,071507
28,500       3,8947       996,05       0,028028     119,46       2552,8       0,41602      8,4829       0,61301      0,018784     823,47       9,9669       0,071429
29,000       4,0092       995,90       0,028805     121,55       2553,7       0,42294      8,4725       0,61383      0,018818     814,62       9,9814       0,071351
29,500       4,1266       995,76       0,029601     123,64       2554,6       0,42985      8,4622       0,61465      0,018852     805,91       9,9959       0,071273
30,000       4,2470       995,61       0,030415     125,73       2555,5       0,43675      8,4520       0,61546      0,018887     797,36       10,010       0,071194
30,500       4,3704       995,45       0,031249     127,82       2556,4       0,44364      8,4417       0,61626      0,018921     788,95       10,025       0,071116
31,000       4,4969       995,30       0,032102     129,91       2557,3       0,45052      8,4316       0,61706      0,018955     780,68       10,039       0,071037
31,500       4,6266       995,14       0,032975     132,00       2558,3       0,45739      8,4214       0,61786      0,018990     772,55       10,054       0,070958
32,000       4,7596       994,99       0,033868     134,09       2559,2       0,46424      8,4113       0,61865      0,019025     764,56       10,069       0,070879
32,500       4,8958       994,82       0,034782     136,18       2560,1       0,47108      8,4013       0,61943      0,019060     756,71       10,083       0,070800
33,000       5,0354       994,66       0,035717     138,27       2561,0       0,47792      8,3913       0,62021      0,019095     748,98       10,098       0,070721
33,500       5,1785       994,50       0,036673     140,36       2561,9       0,48474      8,3813       0,62099      0,019130     741,38       10,113       0,070641
34,000       5,3251       994,33       0,037651     142,45       2562,8       0,49155      8,3714       0,62176      0,019165     733,90       10,128       0,070562
34,500       5,4752       994,16       0,038651     144,54       2563,6       0,49834      8,3615       0,62252      0,019200     726,55       10,143       0,070482
35,000       5,6290       993,99       0,039674     146,63       2564,5       0,50513      8,3517       0,62328      0,019236     719,31       10,157       0,070402
35,500       5,7866       993,82       0,040720     148,72       2565,4       0,51191      8,3419       0,62404      0,019272     712,20       10,172       0,070322
36,000       5,9479       993,64       0,041790     150,81       2566,3       0,51867      8,3321       0,62479      0,019307     705,19       10,187       0,070242
36,500       6,1131       993,47       0,042883     152,90       2567,2       0,52543      8,3224       0,62553      0,019343     698,30       10,202       0,070162
37,000       6,2823       993,29       0,044001     154,99       2568,1       0,53217      8,3127       0,62627      0,019379     691,51       10,217       0,070081
37,500       6,4555       993,11       0,045143     157,08       2569,0       0,53890      8,3031       0,62700      0,019416     684,84       10,232       0,070001
38,000       6,6328       992,92       0,046311     159,17       2569,9       0,54562      8,2935       0,62773      0,019452     678,26       10,247       0,069920
38,500       6,8144       992,74       0,047504     161,26       2570,8       0,55233      8,2840       0,62845      0,019488     671,79       10,262       0,069839
39,000       7,0002       992,55       0,048723     163,35       2571,7       0,55903      8,2745       0,62917      0,019525     665,42       10,277       0,069759
39,500       7,1903       992,37       0,049969     165,44       2572,6       0,56572      8,2650       0,62988      0,019562     659,15       10,292       0,069678
40,000       7,3849       992,18       0,051242     167,53       2573,5       0,57240      8,2555       0,63058      0,019599     652,97       10,308       0,069596
40,500       7,5841       991,98       0,052543     169,62       2574,4       0,57907      8,2462       0,63129      0,019636     646,89       10,323       0,069515
41,000       7,7878       991,79       0,053871     171,71       2575,3       0,58573      8,2368       0,63198      0,019673     640,89       10,338       0,069434
41,500       7,9963       991,59       0,055228     173,80       2576,2       0,59237      8,2275       0,63267      0,019710     634,99       10,353       0,069352
42,000       8,2096       991,40       0,056614     175,89       2577,1       0,59901      8,2182       0,63335      0,019747     629,18       10,368       0,069270
42,500       8,4277       991,20       0,058029     177,98       2578,0       0,60564      8,2090       0,63403      0,019785     623,45       10,384       0,069188
